"","plate","well","run","A","mu","lambda","solvent","control2","strain"
"199","S2L1","H01","Result_96_2020-01-13_mitacs_control",3.09173741376522,0.00013447541250103,18891.8427315385,"DMSO","case","S6.113"
"200","S2L1","B04","Result_96_2020-01-13_mitacs_control",3.79730125739368,0.000153701211121001,15353.2338487319,"H2O","case","S6.113"
"201","S2L1","C06","Result_96_2020-01-13_mitacs_control",3.40417650664708,0.00015759072967619,15365.736267918,"H2O","case","S6.113"
"202","S2L1","H04","Result_96_2020-01-13_mitacs_control",3.21386720520885,0.00013720934048275,17849.766215194,"DMSO","case","S6.113"
"203","S2L1","B11","Result_96_2020-01-13_mitacs_control",3.25788404047601,0.000160526454144782,19196.0583636631,"DMSO","case","S6.113"
"204","S2L1","D11","Result_96_2020-01-13_mitacs_control",3.40032500138013,0.000171439879852293,16990.9811807635,"H2O","case","S6.113"
"205","S2L1","D02","Result_96_2020-01-13_mitacs_control",3.42672428489897,0.000146990345184704,16628.2296483902,"DMSO","case","S6.113"
"206","S2L1","B09","Result_96_2020-01-13_mitacs_control",3.27637594307296,0.000143833636900733,17993.0758444305,"DMSO","case","S6.113"
"207","S2L1","C05","Result_96_2020-01-13_mitacs_control",3.43980281188836,0.000173349635101169,17095.6279273924,"H2O","case","S6.113"
"208","S2L1","B02","Result_96_2020-01-13_mitacs_control",3.55332683523248,0.000128599425184163,13922.9776640001,"H2O","case","S6.113"
"209","S2L1","C08","Result_96_2020-01-13_mitacs_control",3.39701522908181,0.000180921754029305,16229.5792598497,"H2O","case","S6.113"
"210","S2L1","C12","Result_96_2020-01-13_mitacs_control",3.45403163089471,0.000194672052901997,17425.7240418371,"H2O","case","S6.113"
"211","S2L1","A12","Result_96_2020-01-13_mitacs_control",3.46669961910134,0.000158129547213056,16814.6960169615,"H2O","case","S6.113"
"212","S2L1","H03","Result_96_2020-01-13_mitacs_control",3.37393889346391,0.000122288684186876,13726.9197824978,"H2O","case","S6.113"
"213","S2L1","F05","Result_96_2020-01-13_mitacs_control",3.37381483655233,0.000173277827272173,16361.7903895577,"H2O","case","S6.113"
"214","S2L1","F06","Result_96_2020-01-13_mitacs_control",3.41750575486959,0.000181493513434443,15701.0148541365,"H2O","case","S6.113"
"215","S2L1","H08","Result_96_2020-01-13_mitacs_control",3.24696603720614,0.000137685654239804,17612.9999698131,"DMSO","case","S6.113"
"216","S2L1","A02","Result_96_2020-01-13_mitacs_control",3.58321906239311,0.000126854252779096,14656.7753302021,"H2O","case","S6.113"
"217","S2L1","G04","Result_96_2020-01-13_mitacs_control",3.4307915705934,0.000154921363835037,15565.8505889493,"H2O","case","S6.113"
"218","S2L1","E12","Result_96_2020-01-13_mitacs_control",3.50250034052918,0.000200017476885284,17678.9370547378,"H2O","case","S6.113"
"219","S2L1","F01","Result_96_2020-01-13_mitacs_control",3.28421004038473,0.000137784325187373,18054.3316888049,"DMSO","case","S6.113"
"220","S2L1","H11","Result_96_2020-01-13_mitacs_control",3.38466385023533,0.000139047352130843,15530.6121625779,"H2O","case","S6.113"
"221","S2L1","B03","Result_96_2020-01-13_mitacs_control",3.4453735776498,0.000136136563857082,17910.1262734505,"DMSO","case","S6.113"
"222","S2L1","A01","Result_96_2020-01-13_mitacs_control",3.48324807763828,0.000128711753309335,15097.0403313817,"H2O","H2O","S6.113"
"223","S2L1","A04","Result_96_2020-01-13_mitacs_control",4.03102689562062,0.000172050095531036,16294.4483763219,"H2O","case","S6.113"
"224","S2L1","C09","Result_96_2020-01-13_mitacs_control",3.34103691783507,0.000175647587793175,16367.006715794,"H2O","case","S6.113"
"225","S2L1","C07","Result_96_2020-01-13_mitacs_control",3.43405693113344,0.000197718335208072,28301.6373277029,"ETOH","ETOH","S6.113"
"226","S2L1","B01","Result_96_2020-01-13_mitacs_control",3.24421878378963,0.000137589483319837,18950.6333091474,"DMSO","DMSO","S6.113"
"227","S2L1","D06","Result_96_2020-01-13_mitacs_control",3.37595397656987,0.000211986825244267,16619.0618323674,"H2O","case","S6.113"
"228","S2L1","E08","Result_96_2020-01-13_mitacs_control",3.36729339909628,0.000220733559238811,20301.1060041791,"DMSO","case","S6.113"
"229","S2L1","B06","Result_96_2020-01-13_mitacs_control",3.44875811712284,0.000142565611725268,14310.9330641011,"H2O","case","S6.113"
"230","S2L1","E10","Result_96_2020-01-13_mitacs_control",3.46488604872941,0.000218463912236254,17985.0392759596,"H2O","case","S6.113"
"231","S2L1","A07","Result_96_2020-01-13_mitacs_control",3.25779775746765,0.000244206990416311,18000.9902367692,"H2O","H2O","S6.113"
"232","S2L1","E11","Result_96_2020-01-13_mitacs_control",3.383482765404,0.000184231601162878,17357.3746496293,"H2O","case","S6.113"
"233","S2L1","D07","Result_96_2020-01-13_mitacs_control",3.33744109425869,0.000186061580878705,19501.1348044195,"DMSO","case","S6.113"
"234","S2L1","F04","Result_96_2020-01-13_mitacs_control",3.44159832554998,0.000170971883616092,16034.4964115439,"H2O","case","S6.113"
"235","S2L1","E09","Result_96_2020-01-13_mitacs_control",3.40867359376398,0.000197911340575913,16486.1584238453,"H2O","case","S6.113"
"236","S2L1","A06","Result_96_2020-01-13_mitacs_control",3.32604420335959,0.000131309591872625,14446.3078370547,"H2O","case","S6.113"
"237","S2L1","B12","Result_96_2020-01-13_mitacs_control",3.37109415169125,0.000146858318302434,16356.8585015914,"H2O","case","S6.113"
"238","S2L1","H05","Result_96_2020-01-13_mitacs_control",3.34010084093462,0.000180263413170883,17104.1484752472,"H2O","case","S6.113"
"239","S2L1","A08","Result_96_2020-01-13_mitacs_control",3.19068356160911,0.000209889136579972,16797.2413638358,"H2O","case","S6.113"
"240","S2L1","G08","Result_96_2020-01-13_mitacs_control",3.42488528523519,0.000174665981245333,15602.4718547641,"H2O","case","S6.113"
"241","S2L1","H10","Result_96_2020-01-13_mitacs_control",3.17640903501251,0.000143022113593431,17403.8646076099,"DMSO","case","S6.113"
"242","S2L1","F07","Result_96_2020-01-13_mitacs_control",3.2831974451535,0.000156250484080344,17873.8507241866,"DMSO","case","S6.113"
"243","S2L1","H02","Result_96_2020-01-13_mitacs_control",3.3080272780711,0.000130810856416602,17051.6570303121,"DMSO","case","S6.113"
